specialty_name,specialty_description,department_name,level,registration_fee,tuition_fee
Contemporary Issues,"This specialty explores Contemporary Issues in depth, covering key concepts such as innovation and technology integration, with a focus on practical applications in design.",Supply Chain Management,400,62658,540386
American History,"Aimed at developing professionals in American History, this program covers practice , technology integration , and strategies for design.",Sustainable Art History,300,64675,527754
Renaissance History,"This program in Renaissance History integrates implementation with global perspectives, providing a comprehensive understanding of theory and its implications.",Sustainable Art History,100,53914,447893
Economic History,"Economic History equips learners with tools for global perspectives, through rigorous training in theory and exposure to analysis.",Sustainable Art History,400,119248,513677
Introductory History of Science,"Focusing on Introductory History of Science, the specialty offers coursework in innovation and theory, emphasizing research methods and real-world problem-solving. Includes guest lectures from experts.",Sustainable Art History,200,61503,424112
Asian History,"Asian History provides students with advanced skills in design, including hands-on projects in ethics and theoretical foundations in theory. Features collaborative group work.",Sustainable Art History,500,108950,456502
Modern History,"Modern History equips learners with tools for ethics, through rigorous training in design and exposure to innovation. Includes guest lectures from experts.",Sustainable Art History,300,83255,523827
International Contemporary History,"Aimed at developing professionals in International Contemporary History, this program covers ethics , design , and strategies for innovation.",Sustainable Art History,100,93042,298563
Applied Military History,"Focusing on Applied Military History, the specialty offers coursework in technology integration and practice, emphasizing research methods and real-world problem-solving. Prepares for certification exams.",Sustainable Art History,100,65446,398624
Medieval History,"This program in Medieval History integrates design with ethics, providing a comprehensive understanding of sustainability and its implications. Incorporates latest research findings.",Sustainable Art History,200,83041,342274
Computational Ancient History,"This specialty explores Computational Ancient History in depth, covering key concepts such as analysis and theory, with a focus on practical applications in technology integration. Incorporates latest research findings.",Sustainable Art History,400,114355,644262
History of Technology,"History of Technology provides students with advanced skills in ethics, including hands-on projects in sustainability and theoretical foundations in design. Features collaborative group work.",Sustainable Art History,300,80986,408150
European History,"This program in European History integrates design with analysis, providing a comprehensive understanding of theory and its implications. Features collaborative group work.",Sustainable Art History,600,86589,531462
Theoretical Fundamentals and Principles,"Students in Theoretical Fundamentals and Principles will study ethics , learn about technology integration , and engage in sustainability to develop expertise in the field. Ideal for career advancement.",Applied Oceanography,600,146930,920784
Theoretical Applied Methods and Techniques,"Students in Theoretical Applied Methods and Techniques will study sustainability , learn about practice , and engage in innovation to develop expertise in the field. Features collaborative group work.",Applied Oceanography,200,93611,460667
Theoretical Interdisciplinary Approaches,"This specialty explores Theoretical Interdisciplinary Approaches in depth, covering key concepts such as technology integration and global perspectives, with a focus on practical applications in practice.",Applied Oceanography,100,77374,209255
Research Methods and Seminar,"Students in Research Methods and Seminar will study technology integration , learn about theory , and engage in design to develop expertise in the field.",Applied Oceanography,400,69695,378902
Advanced Topics in the Field,"This specialty explores Advanced Topics in the Field in depth, covering key concepts such as sustainability and practice, with a focus on practical applications in design.",Applied Oceanography,400,119072,498207
Internship and Professional Development,"Internship and Professional Development equips learners with tools for implementation, through rigorous training in theory and exposure to innovation. Incorporates latest research findings.",Applied Oceanography,300,85347,227876
