id,grade,school_year,score
s0BWx8agrSa6,F,2011-2012,7
Jh07eYw5BMcw,F,2021-2022,3
8xn0NTN9a6tq,A-,2017-2018,83
bQMmQqhgk539,A+,2007-2008,27
8bSk3pCkQHtU,C+,2021-2022,45
X4iiYaem7WKR,D-,2011-2012,81
L6V7y4l6kSqi,B,2018-2019,69
7J0Jx3r8MlaV,D+,2020-2021,61
AsKZRYYdZUHN,C,2025-2026,23
knhER3dtjHZV,C,2012-2013,16
HtpWF7jljkiF,B+,2008-2009,32
6vJRyMVpB1MU,C+,2021-2022,38
8x6pYIjvws5T,C-,2021-2022,72
QzFxsZYIcWsF,C-,2018-2019,100
qpmwgOuIsuxh,D+,2004-2005,66
FmJ0DKVvA3NX,B+,2006-2007,50
L06gZmKHnN1x,D,2002-2003,69
RyBroeX5p3hM,D,2024-2025,7
nCPKACFDqhcp,B,2023-2024,52
2TEFvQKjMVTV,A-,2003-2004,52
QC0PMS4J2ZQ1,D+,2008-2009,100
HH2GOKxvRJ5t,C+,2022-2023,14
y45FQRf96Ux0,C,2003-2004,53
RvSt6mfEIy8h,A-,2006-2007,45
vDtxhFJS35L4,D,2020-2021,75
aYESgKGv6ehr,B-,2018-2019,36
Ta7IGg23cdgY,D,2002-2003,40
6MbG53C3G823,C+,2001-2002,79
MRYkGkDAKkJc,B+,2003-2004,35
5D8y7fTUCWBB,C,2011-2012,16
fW3mdBfSr4gx,D+,2002-2003,81
zYctgWGkOizV,A-,2017-2018,59
Ha8tEqZY4ZOI,D+,2027-2028,94
vDpXQI6aULY5,F,2026-2027,94
bfC7BYJYX3Zu,A,2024-2025,51
pKZlHmiGY4DJ,C,2019-2020,80
ZXIfSbQciTTf,B+,2016-2017,58
CTMoAHWfzw3Z,A,2023-2024,1
0LbuuBYoHKy2,A-,2007-2008,21
xKD6KjVyES0Y,C,2017-2018,82
Frk1KxhXXzig,B,2008-2009,48
0ee5GeLjzgWE,C-,2004-2005,51
bwJJesAqlRw7,B,2026-2027,24
qNHYxeiqNw3i,B,2002-2003,55
o4q1Jtof9Dw6,B+,2007-2008,38
0C4Gz785mTTK,D,2016-2017,5
Gt5wtSjABFnV,A,2001-2002,92
ZB9SSoayTbY2,A,2013-2014,39
9OSAhzDT12T4,C-,2019-2020,35
APTuwTUyNnsK,B+,2012-2013,82
2vbES0f0YV9g,B-,2024-2025,27
yVRudVGoIHwz,C-,2005-2006,93
dAmwlbPflNMu,B+,2017-2018,46
cDuODmpGKpHu,D-,2005-2006,4
2hfpHZfGxvqg,B+,2001-2002,18
SUaflKc5PasL,A,2018-2019,58
ON5CmS287qGY,D+,2020-2021,40
90gGZhjcTkCv,D-,2026-2027,47
YwlO2NJOy84Y,A+,2022-2023,65
VlJtT8M4CBzy,B+,2006-2007,72
5w1ENm0fcSIk,F,2005-2006,81
33PoFikAt69E,B,2007-2008,12
5gbRa26RFQ9s,C,2020-2021,75
Di2rp1tFfjzv,B+,2016-2017,16
huE61OCkcCL6,D+,2002-2003,95
YVjtPLl5OXok,B,2012-2013,20
MTJQ0GnJKrIB,C+,2010-2011,31
1mH89bM3myCt,B-,2001-2002,70
yppKTxzRUmJK,A,2014-2015,60
yKBsLvgT0Et2,D+,2001-2002,7
KjbNNyRdluKH,D+,2020-2021,8
Riu6zyc5BUeb,D,2023-2024,39
NthzyoVZVMGM,D,2027-2028,5
sAWALxCn8mKk,D-,2001-2002,28
i0u2zWBXMMuU,B+,2015-2016,2
bkX9EMa4Uo52,B+,2015-2016,76
qTqNb6FPvAVx,A+,2010-2011,6
XRzPfBxbFgUb,B,2011-2012,85
brUPhDSrjIA9,B,2025-2026,52
eOZ3qTsF9lTQ,C,2015-2016,88
eBRlIDEH0aet,A-,2015-2016,43
v8YUtcE7PIOD,D,2011-2012,57
ao4lbmfiN1Q3,D,2005-2006,72
nbUXMk5b3ebO,C,2003-2004,68
7jSLLASlxxkj,A,2012-2013,45
m42XTnV4q7vx,C+,2006-2007,83
tvx80utfYGS3,B-,2025-2026,71
gNPLieUP3bSO,C-,2010-2011,45
lvgxp8EjYOXW,D+,2027-2028,21
CkyYCoJ94T4O,B-,2010-2011,83
dNb4uNxeIqQr,A,2010-2011,3
bmwA74bRrQ9e,F,2010-2011,74
AbgHcj4GsrXG,C,2024-2025,22
Fb6zsSEfv83P,A-,2008-2009,36
STEfCqK7sGZ7,C,2008-2009,42
Od2yNq7ZnJq4,F,2012-2013,82
72z2E9VF1pCq,A-,2017-2018,85
gl6VFEhkxNtq,C,2013-2014,49
NTLPyi3D8WgN,A,2027-2028,6
u1TnDYoByXTT,B-,2001-2002,37
xOyipnk6Uqe0,D,2024-2025,44
UcXm3ENS8raD,C,2014-2015,15
JkXm2uZR73Wc,C+,2006-2007,45
YKhTAphYxd0n,C,2007-2008,15
2nSbF6tsli33,C,2021-2022,85
OdhocwU6E40U,C+,2013-2014,13
3olTUbFF1LCR,D-,2014-2015,7
EvN6kubYDAz1,D,2007-2008,79
VvpjcKMwVaQY,A-,2023-2024,28
nA1eIOUfpnZ1,A-,2024-2025,77
YWty6PoIvUk0,B+,2008-2009,29
3hPGtRvsKIrO,D,2020-2021,50
0VtsdlfdeU0o,B-,2003-2004,39
uOk2EhK1H7Nf,F,2008-2009,65
fWYNfLx9Lzod,D+,2014-2015,62
vwE7ZkOL6yVo,C+,2005-2006,71
MDSUoem6oMo3,B-,2007-2008,51
DJGdt8wQWAMC,C-,2027-2028,6
b8F3RRT7dEcE,A+,2006-2007,21
o6wy3AYAzHRU,B-,2024-2025,98
Ovx9DMLKifb3,B+,2027-2028,86
kQM7hnMcoynH,A,2012-2013,58
kaFZRrD3L21O,C,2013-2014,63
hTQ2Pp7YxaWo,A,2003-2004,40
pVa2dJMw9IB1,A,2023-2024,69
mB4aNgPcesQv,D,2010-2011,18
0NTFjoJioDYh,D-,2023-2024,28
RiQ4IUhD2Vq1,A,2024-2025,90
WnHe7miYaV4B,C-,2012-2013,48
sXy1jdCbrqqY,C,2006-2007,71
PBOn9YRODr5A,D+,2020-2021,94
7JEnoS5Svq6z,A+,2008-2009,95
aFounzVOv32C,D+,2014-2015,90
g6Mb3Qf1J4ce,B+,2012-2013,58
wAWEcXnfnxBA,D+,2004-2005,63
lWaBQpHhiGcx,A,2017-2018,82
VJ3K2KBI34iU,A,2013-2014,78
wIASaoGjuaeZ,C,2012-2013,35
SAcMq5MCJoXT,F,2019-2020,47
Z47dKOsYibYZ,D,2020-2021,28
5qAltiShw8fP,C,2024-2025,29
lY8FDKEIRuuH,B+,2009-2010,1
IGjRkOsfGk0M,D,2010-2011,76
A4AJWgm7U5So,D+,2022-2023,31
cfMXsVecMT2v,D,2008-2009,2
SzJAaSkJRUrp,D+,2024-2025,21
Cjtd1hNNXcWt,B,2019-2020,16
1hw0ouuv5beZ,B,2013-2014,22
6HVVrekd4tmc,C,2006-2007,83
8Xn6LPeagjBv,C+,2005-2006,89
spWcmhufvpZ4,D,2012-2013,48
BjSHCqD6ISfT,A,2006-2007,48
5B7327GL8y7z,C+,2021-2022,28
MvQkhiZxu2lN,B+,2010-2011,36
ZKOYbaWq0eif,D+,2020-2021,12
bLxSvJFrAdbx,B-,2004-2005,27
pnENcTIvrpFE,B,2009-2010,7
1plHSHMcR4ER,F,2009-2010,89
4auFJeSGGHyl,B+,2009-2010,38
KyAJpIGU709f,B+,2019-2020,58
EI5tKKE0gUtD,F,2016-2017,87
fVx9vVbEvqMB,C-,2015-2016,22
M3sMPHQLFEzV,B-,2021-2022,60
9rb80MEtmmkU,B+,2001-2002,17
OcOTxzm5v7kL,C-,2008-2009,74
ojMViKnWjxLa,C,2016-2017,10
sCnZ9S8KwD9O,D+,2022-2023,55
I4dHxhJU5fdh,D+,2004-2005,13
vAoa9Pb4MbHn,A,2015-2016,41
aR1i2Vk7ogLh,B,2016-2017,66
iNhhBZYRvemm,D,2009-2010,45
l2RuXXFWh0Fh,D,2024-2025,37
uHeqj6lDKdWP,A-,2020-2021,51
a7vLO6Y5YdTc,D+,2027-2028,44
pMTUc68wSoHy,C+,2021-2022,15
56VkEEmOzIi6,C+,2002-2003,40
SqU4qKP2Wsgv,F,2019-2020,7
jMHZnBDT3mmV,A+,2005-2006,16
ZzaPxaMaAUGR,B,2013-2014,50
DyS2z7K6KiX4,C,2001-2002,30
QvanydYEtanq,B,2021-2022,67
lp6oltuB4XKr,B-,2024-2025,85
OYthlHrOvt4o,B+,2027-2028,75
e68G5mnRZN8I,A,2019-2020,59
vVfqfsAmcKKr,D+,2022-2023,15
eoJXzFuRMWiU,D,2007-2008,6
DaexpWl597fp,C-,2005-2006,2
rIGkiEy8u118,A+,2013-2014,97
zbhxmxKtekvK,D-,2007-2008,55
lf698it7HnVe,C+,2001-2002,100
dJM9LRfYXHns,C-,2008-2009,23
jdh6t47y7Uds,C+,2022-2023,37
ThKsFElHJTqN,A-,2002-2003,91
PetHA4HZCcuT,B-,2009-2010,85
klYUd6S2BL0y,B,2027-2028,83
l9mX0gCdq9Ys,B+,2021-2022,75
3ezsGCnwLs9S,D+,2005-2006,43
OWJ4fxTnyex3,D+,2011-2012,5
irxER5fOLMj3,D+,2004-2005,8
fPkG7icrMF9O,D,2019-2020,98
5QDE75ge0i0A,B+,2017-2018,90
J6UJMFVQd8Rs,D-,2003-2004,70
uEUbGeDlIC0O,A+,2026-2027,92
UFz2u4NUCt8C,B,2003-2004,59
m5imkphPYm2y,D-,2014-2015,27
r0Ek2ACmlJls,D,2004-2005,100
BtAFQJlA6qtG,A,2014-2015,59
QOAZGTrtRcQr,C,2018-2019,19
k6ZNnquVUqBV,B,2005-2006,88
PgQlk6MANEPl,C-,2027-2028,44
EyyskxrS4NFk,A+,2025-2026,42
9aUCL1nSWEAv,D+,2003-2004,38
ugJ78PZenweA,D+,2020-2021,69
ww9go79NIyMZ,B,2016-2017,92
UKSvazxfTs0U,B-,2009-2010,52
LBbkut71FUJs,C,2027-2028,84
id1trlmidlA8,A,2025-2026,37
wuHXIa71bcak,C-,2002-2003,58
bag6MxhAlif2,C+,2005-2006,65
6HFv0PMhf1zy,A-,2001-2002,22
9ktOYZy1EFwo,A,2011-2012,18
21t8hxVXfFyp,C+,2009-2010,77
PbuKt93SyHsV,A-,2009-2010,4
ATZg8RqbdH9E,A,2011-2012,25
u0ifzIoZyLLL,B-,2011-2012,78
yKNsBSfMR1dE,F,2021-2022,11
MCYyWrWY63Rv,B+,2019-2020,47
zkuvE7wpf6nI,B,2018-2019,54
MtA5Glhv7fWF,B,2018-2019,13
jatJ5PGEsrTY,D,2006-2007,36
Us3kQTqhK1dU,B-,2022-2023,92
unQICEYPqL02,A+,2004-2005,43
p1AK0fTnHdgq,B+,2027-2028,19
ai2LRvURYGBC,B+,2012-2013,38
4PlJZgMkpzRm,D,2027-2028,87
j7HXK8bWcvgy,A+,2023-2024,41
zcfQ22q0ULnS,C,2016-2017,97
Vc7ooiWpwJdE,F,2002-2003,18
9Gya41SHtWVZ,C-,2009-2010,41
8x7iZyluXhhh,F,2023-2024,32
ensnIVjfM6F3,B-,2006-2007,100
KNW1bUmjehZq,C+,2013-2014,72
fuQazqgrlMuL,A-,2027-2028,99
52rJejWjOxNJ,D+,2006-2007,22
VfK27aCsjFG8,A,2006-2007,35
bMDFLRyGoi5q,C,2003-2004,51
sPneVFThhlVk,A,2011-2012,44
EilW6EkMmZqf,F,2006-2007,12
qIFygJC2HL9X,C-,2017-2018,82
9Koo4wwLJgFl,C,2016-2017,42
geq0s5FbcHjY,F,2024-2025,16
wwUImfqC4JDT,F,2024-2025,87
PUerwPXrohxX,A,2015-2016,22
tFWRDAnat5kv,F,2003-2004,76
4vp1qw4s9TKn,B+,2006-2007,47
6wQjOjP2fpMX,A-,2015-2016,88
lLotnqnAycYG,B-,2018-2019,23
PMRZDvKg2G2D,D,2003-2004,98
55roEiwRoujN,D+,2014-2015,2
pfVJWfBhJmOv,C,2020-2021,96
6wcQ4GKTGmoZ,B+,2021-2022,7
ssDvtXiRBl92,C+,2014-2015,55
cpuTh4olXlJS,D-,2022-2023,8
tclScIXaphAn,C,2017-2018,54
QhRZpoUN8ysc,D-,2025-2026,67
TASLbMwMJXRc,B,2016-2017,76
7iqMAXQN1lqg,C-,2025-2026,17
1PlCjWfI4Kvl,B+,2012-2013,45
ZFsgtRcbZrPw,B+,2007-2008,91
2MkmijEJ8JGY,B-,2019-2020,67
Q38GhcdzU8TZ,C+,2016-2017,89
OWsgZfHJQFsL,D+,2002-2003,13
XQHYUG6vib5N,C-,2012-2013,35
QYMzGaHZMrry,B-,2006-2007,42
V0IQ4SbCI7gf,B+,2011-2012,95
1RX62z3omfoR,B+,2017-2018,47
C1KZMTu86N3w,D-,2010-2011,70
OF1D701MVwxf,C-,2024-2025,56
OzbxeBVoQBX0,B+,2023-2024,30
TohvORr91oap,A+,2023-2024,87
rClhVGV3fmf3,A-,2008-2009,28
Q25EIzYUtNEV,C+,2012-2013,47
VKQG4YP3oZ3s,B-,2027-2028,8
fFi4mcfzCevL,A+,2014-2015,99
3MTWlhnIWyFA,D+,2015-2016,60
i3Y2eNGhS8LN,B,2011-2012,55
5G9SEUjeomCM,A,2004-2005,11
ypbb8YS0OIop,A+,2015-2016,89
8vEaHA4rygTI,D-,2027-2028,43
agTzrd3LAOMJ,A-,2014-2015,36
8NxDNRfhFRbl,C-,2023-2024,34
0YUcBBwxOe6P,A,2003-2004,87
10wH8tMKhypI,D,2009-2010,71
BQpAK5i51OUI,D,2001-2002,57
umKGiK7my1pU,A,2016-2017,43
7JO0hX1bPcbV,A-,2018-2019,74
kjWNMAZV2PR1,A,2013-2014,29
Q03Kl36w3rQX,C+,2013-2014,76
AuB12AAiGEMz,F,2015-2016,35
GsZouWXZ2Xjp,A-,2009-2010,73
bsZEJTiZCQE9,A+,2013-2014,12
cuwtdBuNhcDD,C,2010-2011,46
FcCSWCFyU09F,A,2025-2026,86
QmPnwerv10dD,D-,2020-2021,58
ylqrXebDSGUv,B-,2001-2002,28
QJqulCAEw9hy,B-,2022-2023,41
Nx7b7mHVMDuc,A,2022-2023,8
PTvONVmSE2Ps,B,2026-2027,7
fHKXJzPAAsUF,C+,2015-2016,40
eKtc5yqqpptw,C+,2016-2017,21
jlVNLvrWmNur,F,2025-2026,13
uUaaCefi2C08,C,2003-2004,42
rHCLuH14FV98,A+,2020-2021,49
6MlRt0A56Luc,A-,2013-2014,23
2dwtwNBlk1P3,D-,2009-2010,58
EDM3D4j2Rz4R,D,2017-2018,37
sCTd6eRe2FxX,C-,2002-2003,22
sh8m5yyqYr9z,D+,2010-2011,94
68hgrijwRI6c,F,2022-2023,64
eY3yGiFlWRyR,C,2019-2020,70
qq57hkAWajL4,C-,2015-2016,63
mhcbGCr45qtR,C-,2002-2003,28
qkw0WT9OeRt5,D,2020-2021,11
RPMICJBQtiKh,D-,2010-2011,75
wHSwFMdewVt1,C-,2003-2004,16
4dM11t2sbqXq,D-,2019-2020,29
ZWuZvcEC9jrA,D-,2022-2023,97
XgH5ccdDY3oC,A,2025-2026,42
7Cet728onRGW,A-,2027-2028,99
qFoV7qJ7hXwt,A-,2021-2022,63
aQq5R60chfHe,D,2015-2016,26
SKUEbhdjfdrN,C-,2003-2004,44
TTLhTcfguVOD,C,2005-2006,51
SHNOKvMJHmle,B-,2027-2028,30
wELYeRnwSQZA,D-,2003-2004,17
o5PPBzaJIYqQ,C-,2014-2015,81
z06nkME9qVr8,A+,2022-2023,49
YBkMDJHOFd0B,C,2008-2009,69
42tFw6yYLvHy,F,2023-2024,8
0gubJgTnpLvS,B,2007-2008,85
zFqbieXk4qrt,C,2021-2022,41
lV506AJgRpv9,B+,2009-2010,33
sNiX7vyXcgJH,D,2008-2009,11
543vDgHRhBjl,B,2021-2022,47
bipb4a9tBDGD,D,2010-2011,16
SmCLkEDngypP,A-,2024-2025,18
sxQjM8BQ1Fi7,C-,2013-2014,58
Nbhdp2AjGdhp,D-,2018-2019,87
dumyydEk6DaU,D-,2008-2009,32
DYuGhzJV1pAn,C-,2016-2017,51
3RQEfg6vZ8nx,D-,2003-2004,25
vurZRKHJKbAy,C+,2006-2007,8
9nWEUfgFTAr4,D-,2003-2004,69
bJDJwqlY70HA,C,2015-2016,74
X1YAwFqTEIPM,B,2007-2008,19
C2gp5v32Ejza,A,2006-2007,8
phKgmvsxzfYf,A-,2007-2008,91
UIhNMFltMYwh,A+,2012-2013,94
0aN2jNgmVrhb,C-,2022-2023,79
PNXLp2HB2DaL,B+,2006-2007,98
nMU8G08jUY4H,C,2004-2005,3
HMIHN04HH7Cm,D+,2002-2003,15
FuGt73Fz7ktU,D+,2004-2005,79
4yudQqPrGF6y,D+,2017-2018,24
ZLG2ljB0siUP,B+,2026-2027,93
Nrx2qKrXTD2R,D,2021-2022,41
JjptkBsf7BZ2,A+,2010-2011,61
7UmDVwIsVCib,B-,2012-2013,67
Y6UozVj2i9iA,C,2018-2019,22
p366xAUygQNq,D-,2024-2025,45
UlHzIbZzWdee,D+,2016-2017,80
lSdOmFtz4eFF,D,2002-2003,51
sE5A01dwg9O2,B-,2022-2023,45
ZQBtnWfgwj8P,B+,2006-2007,36
yefLxS4e8prI,A,2027-2028,66
yBYxBFTKY4L3,D,2024-2025,13
uVD2ETFXfOVg,B+,2025-2026,43
f22sRNPXDuwJ,D-,2007-2008,31
Y8u2jaUQ9mlS,C-,2012-2013,61
rZpqp38BqXVn,C-,2023-2024,97
VDMrCcwJ1grA,A+,2010-2011,100
rO3g6hDnHY1t,A,2004-2005,67
nxDZkuv2VU4L,A+,2003-2004,69
CZKFwDNJpmUF,F,2012-2013,71
ZG4lWpK3Xcix,D-,2014-2015,16
QTzpZUhgp1vL,B,2014-2015,90
BnAvHFS9oLmp,B+,2026-2027,82
KFfbc8qxpy7D,B+,2014-2015,51
eU1N3uKQGFWm,A,2024-2025,47
fqAZtbs1SJia,B,2002-2003,34
eTK5x7pp96fs,B-,2020-2021,81
rjxT2nt9HDqp,D-,2011-2012,82
dtLZZUyMTq8Z,D+,2005-2006,82
NronAYP1cSJc,B+,2024-2025,20
jMvhPKaC7WTE,B-,2015-2016,29
Njfh79Nywraq,C+,2006-2007,36
nBlo6qdkHMRn,A-,2025-2026,40
FuYwlPT2kHFz,C,2016-2017,44
tnOzQNtg8nnA,C+,2005-2006,86
UYhDAyngunND,B,2019-2020,70
1bHKUu2p0qkm,C-,2024-2025,53
JOLl8Fvuhmjd,C+,2012-2013,40
OPF5sSmRNZaT,D,2021-2022,76
AFVRrGgOSpqh,C-,2012-2013,59
salE8P5pHNOo,F,2013-2014,20
khecefSDjSVL,D+,2006-2007,94
Pdqke4kI7oO0,C,2024-2025,55
sgOsEV8FNizr,B,2019-2020,53
fXLbAADjdxiq,B,2018-2019,41
l19QUdQFlBQ0,B+,2004-2005,51
TC7QIovfS7dK,B-,2027-2028,75
iNFAt0dKRwxK,D,2023-2024,92
rtv61mjmFTwm,F,2021-2022,55
xBsErIxPwco1,C-,2018-2019,82
SPsLvPrRccs0,F,2013-2014,40
wHqtzE8H51sa,A,2011-2012,43
P08xC3OB2i2X,B-,2022-2023,33
Dq9TMeRpR4hI,B-,2014-2015,37
Z7LqrGqHjAD8,C,2011-2012,44
8RWPzs3PBstl,C,2025-2026,14
xb4JseAP830W,A-,2003-2004,30
LdH4UxEaFftO,B-,2023-2024,38
rHQYEICdi4QP,D+,2013-2014,65
keJgRd9jfCLE,A-,2023-2024,74
lvgzjcrVwfKm,C-,2027-2028,10
WZpPN43jThuz,B,2015-2016,62
JeHwCoZcfxYU,C+,2004-2005,44
5z0UhH1Du0c6,F,2013-2014,94
mTcN25cd5ndo,D+,2021-2022,9
KsuyhQjjJ547,D-,2008-2009,50
oThNqMZ3PquH,A+,2012-2013,37
BVitksEnbpQY,F,2025-2026,63
sTZhrl4aBb4e,D,2021-2022,52
x4CiRVXrH6vB,B,2013-2014,92
hH6Zqyc0IcIM,A-,2020-2021,89
IhV59oshzxQX,D-,2009-2010,51
2qAsD3P5MDCv,B+,2014-2015,100
W14m5MtiSoze,D+,2019-2020,56
Rw96FfrTqYfS,C,2006-2007,84
EPy1CIOQFeTK,B,2002-2003,15
ljBDAnQCby0j,F,2027-2028,5
VpYM2Enqtt76,B,2001-2002,55
W88OibouEP7A,C+,2007-2008,50
wgT7xM10fNV0,B+,2005-2006,29
Yl79RbWDvc1b,B,2023-2024,69
nQSLjjFNF9ZG,A+,2020-2021,96
EUABwbNhmOkD,F,2009-2010,66
n3UAlNpnh6co,A-,2017-2018,69
6AAk9hoPA4aK,D,2017-2018,57
InK6WSoCF1Ma,C,2019-2020,16
4jlPOt90QGQb,A+,2019-2020,89
Wn6QwGKdo069,D+,2012-2013,72
f9ae689fMexP,D-,2007-2008,43
8YxXcTuoBU2y,D,2023-2024,89
0lhOPqRT8WTz,B+,2012-2013,25
Yd5fdKrU9zeY,B,2001-2002,87
9TPXJzTvouLZ,C+,2008-2009,41
cyzZRott4jc2,C,2004-2005,50
L0bJ7YjDV24g,A+,2010-2011,33
k9PiI4D8eKAl,C,2013-2014,72
jpao13BFHvjT,C,2023-2024,46
wngPvi8OCZlM,B+,2023-2024,96
WXdfJdcO4UJc,A-,2008-2009,64
8p1P6srQyvdL,D,2021-2022,26
gQufXWRINhu9,A+,2020-2021,51
6iY9HoZ3uRxk,C-,2005-2006,66
S3Xc8uQWHm2R,C+,2022-2023,49
NvlJX9tWEsXN,D-,2003-2004,87
w4oIWjgsOUGy,D,2002-2003,66
1qhbfz7EerLC,D,2001-2002,36
7spKvp6qMVRK,C-,2013-2014,38
KVVPOMo2YUxP,B+,2025-2026,2
gPWVEmOq9O3W,C,2012-2013,37
VOXr41wpxKsP,A+,2025-2026,55
DzwQ0rvcwnS2,B-,2027-2028,1
6UeOIxo0btIY,C-,2024-2025,72
qcBAzZYDbZIO,A-,2017-2018,29
EP6iwV0VjjAz,C-,2014-2015,92
ZyeoDW8IqZKz,A,2008-2009,29
XKQqOI5Dnd66,B,2003-2004,97
ELbs8O5bWqb0,D-,2008-2009,92
qWAVoySOE6dS,C+,2024-2025,86
jxIJoJzoW87h,C,2019-2020,76
URfFgRJ268k0,D,2007-2008,65
ukIPVxiOPo0F,C-,2023-2024,43
ViQ1KJEqCNPA,C-,2022-2023,57
XsXi2qs3DjB6,B+,2010-2011,9
X0EUKNkpVOtT,C,2008-2009,43
D984NImPWEpb,D-,2012-2013,72
wKBk76yKPeUP,C,2010-2011,22
Ltb37E6k0OvH,A,2022-2023,4
nbDJbBH5PjfQ,F,2024-2025,13
5dx1BVOvwsfq,A-,2008-2009,39
GLFCOdYO3f23,D,2021-2022,46
djAQNixYyYoV,A-,2026-2027,61
up2r1hJnMpfj,D+,2019-2020,41
djywkiwYrcQJ,B+,2016-2017,76
Sf5HQbUuFMLx,A,2015-2016,39
h3AsXN3luWXO,D,2025-2026,27
vai1nca0EkPb,C+,2025-2026,37
IbdhaW20Uq53,D+,2004-2005,94
IskjNqRwdqbG,A-,2024-2025,85
0etNDDX9JEPM,B-,2001-2002,45
e2Nd907a1me9,C,2015-2016,56
PYG9ZXxDeHeo,A,2026-2027,49
eENJJYzfQwGS,D-,2014-2015,85
40roACVegbmM,A,2022-2023,22
PT6jSPyM9Qfy,F,2009-2010,88
Sci0AIvd9oOb,A,2027-2028,37
EH44dpftDxI9,D-,2024-2025,99
8Tn4pCMpp6XF,A+,2015-2016,49
6JyDYMnyZvPU,A+,2027-2028,54
mYjCjilo0nwW,B,2019-2020,7
mjKzVvtIjftI,A-,2019-2020,88
7jwbKrLtKahk,C+,2019-2020,30
4bjxNzV8yRjp,A+,2024-2025,37
pbngojowXnOy,B-,2027-2028,40
Xi4AQFaODCG1,C+,2019-2020,44
tNX878zzkP6f,B-,2018-2019,24
MXv6hG5pWktB,B+,2010-2011,1
9NsYUUamMimp,B-,2012-2013,65
5qMZ7hcET2qU,A+,2007-2008,40
oJnAx1CwmOFN,D+,2004-2005,2
Si2KMQDahaWx,A+,2015-2016,2
8vz7hP8C6fCK,B,2021-2022,92
81a6WGYI4aL4,B+,2005-2006,19
qQJJxWXJ111o,A-,2023-2024,14
XOEKIehQTpb3,A,2022-2023,43
R7ZqKwD5H78W,B-,2026-2027,51
d0LGasvrkw0X,D-,2003-2004,63
G0XM5fZ6CXgV,C+,2025-2026,33
7qThJZxd3HMK,C,2020-2021,3
Sn4518YdNiZp,C-,2018-2019,44
WfPXNYciyioL,F,2013-2014,19
2dvgEIYPKitG,D,2005-2006,55
cILsGsiaLgZ7,C-,2013-2014,65
4Mgt9NF2vVTu,D-,2002-2003,97
RKr8zjGAgRE3,D,2009-2010,44
bJKJi1NPux4C,A,2007-2008,41
zbenZaxGXHaZ,B-,2018-2019,79
TMyx2gFuEsgj,B+,2008-2009,25
EKG2495Hb5Rf,D-,2022-2023,30
NpSfEnr79ZMA,F,2008-2009,44
pTheRCm1xsqz,B,2016-2017,51
PHXh4lqhT5C1,A+,2015-2016,11
wSpNqh5BGsBF,A-,2001-2002,87
vqxUGeKmAVJa,B+,2017-2018,52
pm7iy4rwJKDc,C+,2001-2002,3
0LXaAU6eRdj9,A,2016-2017,91
7g2DJ2u11mT9,C+,2025-2026,26
JgGQa7u9jgca,D+,2017-2018,42
IvReMMFmf7IL,D-,2015-2016,88
URCr8lqnlksw,A,2008-2009,9
EuoV3XzYnBZc,A-,2021-2022,99
ZPPWDs1Hfq2H,F,2021-2022,78
T6Zs6ENqQ8m1,C,2002-2003,86
sNDFIlam39PO,A+,2010-2011,94
OVbYelRqAxEx,A-,2021-2022,14
6HTuimRxuBww,B-,2004-2005,88
e7NinIRokSkx,F,2025-2026,59
qw8lf7ZN7EQZ,B-,2003-2004,98
Rkc5qEKv1ymD,A,2024-2025,37
TDuwqc4La45p,B+,2005-2006,57
9xABKdt2FLRd,B+,2005-2006,32
1oojv7x2tyJw,B-,2011-2012,45
cXSdG5jlqJNS,A-,2003-2004,81
4kJLFMUChjb8,A,2001-2002,13
hXisx7UU2Zqc,C-,2026-2027,37
YD6y4dnvRMlp,B-,2019-2020,34
UCH38WBwmE8A,A,2001-2002,15
bKMsx5I6HNtD,A-,2026-2027,5
GicugrMm8VAg,B,2015-2016,89
wC6ztuPDCCfC,D+,2009-2010,68
8b3CjnAABSDM,D-,2027-2028,37
JnRzsxsh0w4y,C,2002-2003,93
hZ9ofeSBxWRu,B,2005-2006,6
h00pv1s6HB7Y,D+,2021-2022,2
uhXfVUxZo1pL,F,2027-2028,29
vh9UKvyngJzr,C-,2009-2010,63
Bfu49crmRjQF,B+,2011-2012,19
ip9JwqmsRwSt,A-,2015-2016,43
ZcvXLU6Uv0FP,C+,2014-2015,76
koTLSucm8ry1,D,2018-2019,41
RAcEP24YmOT1,D,2007-2008,33
uPFVh2TZG7TF,A-,2013-2014,20
dTMHHbB6xyH9,A,2004-2005,68
iCLaWt7k3YzN,B+,2006-2007,14
Uv04SpkvTMil,A-,2027-2028,19
DjbDG4eyrcAq,F,2021-2022,82
eEkilYqEjjeN,D,2022-2023,80
ipSQm75Dw4wu,F,2009-2010,94
1uI9euo1HLXK,A-,2021-2022,8
bhAsdXfzzDKd,B-,2004-2005,100
ZSUzKsg79E4e,A-,2017-2018,53
YKReUlt42210,A+,2022-2023,21
BYS1enAgIH8d,C,2021-2022,57
8fRtcY58Ik2W,B+,2002-2003,3
5kUHQzKenq0I,B-,2004-2005,84
9QJv6MloGIHZ,C+,2015-2016,2
cpxj45L1kJds,D-,2018-2019,77
ZMffm29oDeJ4,F,2009-2010,62
5k5OUrM55gPz,A+,2010-2011,28
iqACQfGjHcQW,D+,2020-2021,83
PJLmR6UMeVEm,A+,2015-2016,99
uTYncv0SQDW2,A,2009-2010,49
mQaMoEsHCThQ,A-,2002-2003,6
