id,day,school_year,start_time,end_time
gE0lVXpbrmyp,Monday,2016-2017,19:23:06,11:51:33
S46ZXYVCyYOS,Thursday,2016-2017,15:45:22,06:58:17
xoJrXHr6b9W4,Tuesday,2014-2015,10:59:29,08:20:37
gMvdcL6I5BUo,Saturday,2021-2022,09:38:35,01:56:35
5M7ObHqi0Wh2,Sunday,2014-2015,22:34:11,20:44:17
qds9eiB0HVko,Monday,2016-2017,00:26:44,14:01:52
itexEQSO3TRa,Tuesday,2023-2024,02:59:00,14:25:05
LWnCgtN4t0t0,Friday,2023-2024,21:24:59,15:03:21
obdDRdgtxVfz,Sunday,2018-2019,03:35:42,19:46:23
DhMLEWtF8sWy,Thursday,2025-2026,12:59:31,17:48:43
9TQXzdfAelMA,Sunday,2024-2025,19:49:53,06:40:19
Vsq9aOqwbcOP,Monday,2025-2026,22:51:35,21:22:38
Plz4AFG0LV0l,Friday,2024-2025,12:17:25,18:24:52
BdAXgUcn8D9p,Monday,2005-2006,03:05:04,09:28:36
rpgAmZAFJT0f,Thursday,2002-2003,04:35:16,21:52:29
d8X7Tw91od7L,Saturday,2006-2007,14:37:29,12:18:23
0P6pSX0yJrv9,Wednesday,2005-2006,08:54:02,17:29:27
7iKBt2NOlhx6,Tuesday,2017-2018,10:13:55,17:58:47
guMwJvQQsa3d,Saturday,2009-2010,09:53:26,13:12:50
UihJCqpwNKab,Saturday,2016-2017,13:47:00,03:16:18
ibAQ7TgmUwE2,Friday,2010-2011,22:47:33,08:00:20
1fmMmCvHn1mA,Tuesday,2004-2005,21:13:34,03:54:58
x4lAMgYnA3mU,Wednesday,2018-2019,12:16:51,08:05:18
y9um7gXFZelt,Sunday,2025-2026,11:48:53,21:06:35
87S88zJarsef,Sunday,2005-2006,00:09:44,12:29:02
c4EjL3chJ2xW,Wednesday,2020-2021,20:56:46,21:15:37
8OcfdM3cwvjR,Friday,2010-2011,10:42:50,09:12:08
HiFk9EcMs1Ys,Friday,2003-2004,00:06:01,12:54:13
fjzMm76HXX5Q,Tuesday,2007-2008,20:29:15,02:21:59
y1uWGNWchdvV,Friday,2026-2027,07:33:15,12:55:58
9jVbL6jSp03v,Monday,2010-2011,17:06:20,06:27:02
rjQll0xCErDw,Saturday,2017-2018,07:13:02,00:43:50
j8rhgTDRSvXA,Friday,2026-2027,03:53:29,16:03:35
gobM7NoiGct8,Saturday,2026-2027,05:53:49,13:15:46
UNvmSFWLvCQR,Wednesday,2020-2021,08:43:37,13:53:41
4cFL6VQEl5Ce,Monday,2027-2028,00:19:40,02:16:45
zM6VcmQJah9K,Tuesday,2001-2002,21:26:35,15:55:34
8HUoUHKjSxrI,Sunday,2023-2024,04:48:16,01:08:00
MjqbMeAtEAC9,Tuesday,2008-2009,16:22:56,23:57:37
qPRpuAkiJfSN,Tuesday,2004-2005,19:43:17,22:51:04
t40fsx5qBGZG,Sunday,2017-2018,01:56:48,19:34:34
B3TEsB7Dt3j9,Friday,2006-2007,15:40:19,02:15:49
cyrEOpbEKmQb,Wednesday,2014-2015,17:12:35,02:30:29
EJSva8Eu0wl1,Sunday,2006-2007,14:22:49,18:12:17
DSm5mD05q610,Friday,2018-2019,17:54:10,09:21:52
Iq5thUB7vBb4,Tuesday,2017-2018,08:58:02,19:01:51
YjIKt33G01fD,Thursday,2007-2008,16:13:01,10:04:23
dmpq7QkiJZre,Monday,2012-2013,00:41:53,20:19:31
cl4d6XrTQBMz,Sunday,2009-2010,21:15:23,20:15:53
F1O7pqsGuc8I,Sunday,2019-2020,22:31:42,15:10:47
b6bfscDlRCEf,Monday,2013-2014,03:39:28,01:16:32
fhXkWI9TgrSI,Thursday,2018-2019,13:40:31,13:18:02
xmTGBdVdIShA,Friday,2016-2017,15:09:59,02:27:33
hTB7xkcPS0Vr,Wednesday,2017-2018,01:58:01,15:33:41
Uan2fKYhSO5a,Saturday,2022-2023,00:23:57,02:23:46
AcW5RJdLMrB3,Sunday,2018-2019,16:22:43,06:25:27
ByklLkf83e2o,Thursday,2006-2007,18:43:23,08:48:47
NHjq3ItOHErd,Friday,2023-2024,15:45:31,13:01:03
TDRCTVCL1Gxv,Wednesday,2005-2006,20:58:53,13:20:35
OrlaOpHH0SOc,Friday,2022-2023,03:08:18,06:19:36
gANrjC7wGOCQ,Wednesday,2015-2016,01:44:07,10:01:41
5j7tDy5Hjmtt,Sunday,2013-2014,07:53:42,05:57:31
Xw9ZscThMGqn,Thursday,2022-2023,10:02:56,05:58:12
HlsnLClosAQ2,Saturday,2014-2015,14:00:57,03:58:48
srfMosrjOZr7,Tuesday,2016-2017,03:19:22,12:26:01
Bn2nG7miB4Nc,Monday,2016-2017,11:14:34,01:56:43
1Y3ttg2upHPp,Monday,2004-2005,13:46:25,07:22:17
32q0NTvb3U5y,Friday,2020-2021,15:48:59,13:04:12
Bf80xOfrWoql,Friday,2012-2013,16:27:16,10:15:08
i8QvGX8pBCvY,Wednesday,2001-2002,13:43:29,22:48:09
jocgkHVMWhj9,Thursday,2013-2014,12:50:11,10:47:25
zpxEn9nFzENA,Sunday,2011-2012,16:57:29,00:26:40
IQmzx0WabEc1,Monday,2023-2024,13:13:03,05:54:10
IUq0wNJfMAUB,Saturday,2026-2027,01:08:38,18:58:51
bhlEfDcXd1KS,Saturday,2015-2016,22:20:34,15:35:01
uiueNwdseylO,Sunday,2022-2023,06:49:20,11:01:14
tMlDp9cocU7N,Wednesday,2023-2024,08:49:13,20:04:55
yKJ0W9QvCKQj,Sunday,2013-2014,10:58:16,19:35:29
1YBxbMS0xE6u,Sunday,2013-2014,01:21:16,01:38:35
H3nM85Ll5jif,Saturday,2007-2008,09:25:13,01:06:46
kSi6yivR4OlY,Thursday,2012-2013,15:23:36,13:32:50
IzC9S7FF0xT8,Sunday,2018-2019,19:46:27,17:36:24
AyK2Ks6GW84e,Thursday,2014-2015,03:41:16,23:07:45
tZ0YDQt0DrOF,Thursday,2027-2028,02:40:41,12:30:05
3RTHyDZurVG1,Monday,2011-2012,03:03:08,10:54:21
v03d6iZvenEi,Thursday,2020-2021,09:42:17,09:58:29
I9XAvvk9rjIT,Monday,2022-2023,17:30:37,01:46:50
zk2Hv7UjLCEf,Saturday,2001-2002,00:26:57,19:00:29
5s3vAEAGwPfB,Wednesday,2027-2028,17:22:35,14:15:59
01SR1jhg4MT1,Wednesday,2025-2026,17:15:56,20:06:28
TTauetKszGg9,Sunday,2019-2020,19:03:49,09:34:24
3Gy7gZId76lh,Monday,2022-2023,05:49:07,17:01:33
84k8uEGMPDZt,Sunday,2021-2022,20:47:37,08:26:29
StAgXOHH7efR,Saturday,2015-2016,01:57:52,04:01:54
LKHPay7idOEX,Tuesday,2011-2012,06:49:51,22:02:32
aBhWLMRz682t,Wednesday,2027-2028,00:46:18,01:18:53
1CGvQ9qZa2kE,Friday,2013-2014,23:38:56,15:56:11
evatZ8tsXTtH,Saturday,2021-2022,20:48:48,23:30:10
MJi6In9yG106,Tuesday,2009-2010,19:24:44,03:58:41
IRPdegi9zqbS,Tuesday,2018-2019,17:05:30,06:18:21
f6ZzMcDRMrr2,Wednesday,2003-2004,20:21:27,21:53:39
W9uSuVfGcRe5,Wednesday,2010-2011,14:33:01,22:36:46
RRu99NRtxojn,Tuesday,2024-2025,13:09:28,12:47:23
1gfSG8rSO7L5,Sunday,2011-2012,06:19:51,03:32:38
aCe83yZOpGhh,Sunday,2002-2003,05:12:57,03:32:50
ukK5DWa1wB2q,Sunday,2006-2007,20:31:15,16:07:45
Effu8vVmknj2,Friday,2009-2010,17:29:49,18:23:46
LrUvx13nsFld,Tuesday,2026-2027,07:54:28,18:42:42
Lx8IKKyrak0r,Tuesday,2006-2007,11:35:00,13:43:38
rLNYlisaKWhN,Sunday,2008-2009,15:22:25,21:00:16
ln7bKOeJIIRs,Wednesday,2026-2027,11:48:54,10:57:46
R5esRr03EnaW,Friday,2019-2020,18:31:21,22:59:32
kMedGRv2nela,Thursday,2010-2011,18:37:20,10:26:19
WAkrKXvXoGAM,Monday,2009-2010,20:06:23,04:20:25
pXDnkuvcOvyA,Monday,2011-2012,11:46:33,14:13:54
x6fc1bF32vQn,Saturday,2021-2022,06:46:03,17:10:55
eZRWM5cHTeBl,Wednesday,2020-2021,19:12:58,08:34:35
XG5ibhcpkfND,Monday,2027-2028,18:36:36,08:02:29
TgLkAMEYMrXA,Saturday,2012-2013,12:02:18,08:26:26
7kDXaUTWA4vc,Tuesday,2021-2022,15:13:02,03:52:58
ZnplNnXvE6Nn,Wednesday,2021-2022,09:03:46,15:43:54
OMJVQBXcSfM9,Thursday,2018-2019,06:14:10,23:06:25
msQsA7vo2YhQ,Saturday,2022-2023,05:27:51,16:45:56
mnphCzjjjPsg,Sunday,2025-2026,15:14:06,18:18:44
pPS8D1UBcrTB,Sunday,2012-2013,08:45:56,22:53:52
gbfqhL0cRkLM,Sunday,2009-2010,10:47:21,17:41:43
4Le2B7vn7bEf,Sunday,2014-2015,20:24:13,12:49:48
OhB9aTaccUhN,Monday,2011-2012,20:01:00,10:27:32
0zrJGTwB9qJj,Thursday,2006-2007,01:52:23,17:22:59
8fFvCgqo3tSx,Monday,2002-2003,21:37:24,13:29:55
WHjRBzwM4D5y,Sunday,2022-2023,01:05:15,20:11:28
1kzKxN5OaRmi,Thursday,2005-2006,03:51:49,16:46:53
H4DvMDCTXJuu,Monday,2025-2026,02:46:34,08:06:33
NbDnCI1Gij3I,Thursday,2027-2028,12:36:09,20:57:16
gor21wvsxZCQ,Monday,2005-2006,10:27:52,17:14:24
cgZuCOZw1FUo,Saturday,2020-2021,23:52:53,21:43:40
IXltNzKes7c2,Sunday,2019-2020,21:15:58,19:03:26
75bu9aCNV620,Saturday,2012-2013,06:01:40,12:35:07
5FFv9QguCu35,Sunday,2018-2019,01:24:51,08:17:41
R5PLiLkA8f4Q,Tuesday,2012-2013,03:25:46,09:40:13
vPXJSWwDcIZs,Thursday,2010-2011,18:07:36,04:55:29
OvfTg41at2vF,Friday,2024-2025,02:57:59,21:33:33
CrJmzDsySE9B,Wednesday,2010-2011,01:49:00,19:08:51
rKFz6pTduxnx,Friday,2024-2025,08:47:08,06:40:35
zWD4EaojGeZq,Monday,2004-2005,08:18:04,23:44:42
ZKViuRVN9q8R,Thursday,2007-2008,04:53:03,22:19:45
b8iDRiROrzl3,Saturday,2016-2017,07:59:30,22:09:39
0EaaZZOpKczz,Friday,2006-2007,13:24:33,18:59:47
WyIm1AAgnrOe,Wednesday,2003-2004,01:21:43,07:42:49
q3id3Iu38Hf5,Tuesday,2018-2019,13:34:01,04:39:43
YbcsTW9Y4IfJ,Tuesday,2021-2022,00:54:03,06:05:48
lJD4g97HhCy0,Wednesday,2019-2020,16:37:35,16:49:35
rpSnztwwBzlU,Wednesday,2024-2025,14:24:49,13:36:27
aeI5bKDHVMkY,Monday,2007-2008,21:16:04,06:00:43
uvMTiKKyT33p,Thursday,2002-2003,03:38:35,13:26:37
S8oZC7ZLuJ3r,Monday,2025-2026,06:29:44,15:58:04
T4QZG3J1YSNo,Monday,2018-2019,22:30:10,04:18:06
MUgSNb2IIF8s,Saturday,2022-2023,06:40:21,05:30:34
pb0AnUyXHgK8,Sunday,2007-2008,03:16:44,10:23:53
melYtuaZmk0h,Sunday,2024-2025,05:35:03,13:42:02
5hWeBHjhzqmA,Monday,2019-2020,21:43:33,10:14:23
AvD81xF1Qpab,Tuesday,2003-2004,03:08:45,14:12:06
7P6QpcjUMThX,Thursday,2014-2015,14:35:42,02:26:27
rqhVJYtfnCgg,Saturday,2020-2021,15:54:48,22:15:26
2qhE0QQaEVfo,Wednesday,2026-2027,05:18:52,01:52:08
xBVs4KKlBMFn,Friday,2016-2017,09:27:41,19:43:25
tIkAecrF2eF7,Saturday,2025-2026,04:36:39,08:13:16
QyItkO0qTiMj,Thursday,2008-2009,10:35:19,16:08:15
QHZUA0nBU0hT,Tuesday,2020-2021,02:12:28,04:45:12
kM7IFjI8mpZN,Wednesday,2009-2010,00:49:37,14:41:33
x08ucqqgNq8i,Monday,2007-2008,02:10:30,02:56:15
WLj7uC7ShDIL,Saturday,2002-2003,21:02:11,04:45:21
MKyGloPOQPeX,Monday,2025-2026,20:13:58,03:57:11
ZaMLJ2ldJgw1,Wednesday,2003-2004,10:17:40,21:12:42
Vd9zKdzkp7xm,Thursday,2011-2012,15:30:03,12:03:08
8ysKjpF5OJWP,Sunday,2014-2015,01:50:34,18:54:34
9gMs5tzULDr1,Wednesday,2012-2013,23:24:23,15:02:38
V5mUBpVD7cw3,Thursday,2013-2014,17:45:05,12:29:30
0YkzPUEXEMub,Monday,2012-2013,04:55:05,07:26:31
T8Rg9CsoMchc,Sunday,2022-2023,15:37:11,11:09:45
l0xp4oXqqZen,Thursday,2021-2022,05:54:49,06:14:39
4wmJE7pmIALt,Sunday,2020-2021,02:57:42,04:24:12
uUaDvOd2grOT,Saturday,2005-2006,22:17:43,06:27:09
skBH1leS33qh,Wednesday,2005-2006,14:42:38,03:25:19
HSSgGBulEKHG,Friday,2027-2028,19:42:06,08:30:07
bGXKagTdH6Hb,Sunday,2014-2015,07:58:08,20:06:02
MDTZ1rbYT6wb,Thursday,2004-2005,12:58:40,03:06:22
lg8kg3QGB7V5,Monday,2020-2021,23:25:23,01:40:24
cF7UdNkHfJUb,Tuesday,2008-2009,17:29:33,17:02:17
Uj5MF8ial8EU,Tuesday,2012-2013,04:01:53,22:42:45
HJHYzdudhl60,Thursday,2005-2006,01:36:33,17:06:19
lCvbyYLH6ez1,Thursday,2008-2009,23:50:29,01:05:03
RKuS1mGTrnQY,Thursday,2011-2012,10:16:53,13:33:53
genrM3okJYV2,Monday,2019-2020,13:04:23,07:21:47
a2xObji5s67b,Monday,2013-2014,07:52:00,00:35:08
4Xgvajuo6gqn,Saturday,2009-2010,12:48:09,02:53:05
NuHEC2tmBOk2,Tuesday,2013-2014,21:13:58,23:40:01
nvWkDWP5FrY6,Thursday,2003-2004,13:28:23,20:43:12
kVcGmyQPpQM0,Thursday,2020-2021,10:54:22,21:42:04
Upb7r31y4N2y,Thursday,2002-2003,12:09:03,17:19:42
3IgwtPJDDimH,Saturday,2002-2003,09:54:29,14:01:37
WKuj2qStepkN,Tuesday,2027-2028,02:57:39,20:56:29
FFa5fCCqd9m1,Monday,2025-2026,19:55:31,14:28:46
kmBOLWKrSuyh,Thursday,2025-2026,21:03:04,22:47:47
fc4F08NRrwWk,Tuesday,2006-2007,09:20:45,00:32:10
JDOCCOol9Hga,Friday,2025-2026,13:06:42,17:14:23
vn10JRrX1kSw,Wednesday,2024-2025,14:23:28,11:24:26
3JNCL1o2Yjcy,Thursday,2025-2026,02:09:42,23:29:20
qQBmX0OKPRbk,Wednesday,2012-2013,09:37:53,02:26:15
266mRhkwpWmJ,Wednesday,2008-2009,12:39:27,22:29:44
bAAn1CxEh9Qm,Tuesday,2026-2027,02:11:25,14:43:16
sBRWUNhq9SoI,Thursday,2020-2021,11:35:09,08:07:10
koicj8wyCPMK,Thursday,2019-2020,20:52:25,17:27:00
EvBrfFJPiO2d,Tuesday,2001-2002,15:07:20,15:12:37
U3H6YPgHgDAV,Wednesday,2026-2027,03:10:25,13:27:05
0kUkxR8BtNiw,Sunday,2010-2011,23:21:20,11:02:59
ZywBun9u74eI,Wednesday,2006-2007,20:27:36,22:58:15
XHlUfXCuyqMr,Thursday,2009-2010,14:56:29,23:03:25
eMcL1xBMxb16,Wednesday,2026-2027,09:09:28,07:17:24
aJzi1m6DIdxP,Wednesday,2007-2008,00:44:23,03:53:54
tscYdaLbODKD,Sunday,2017-2018,11:51:32,10:54:33
PHPsDNy2pVkq,Thursday,2006-2007,01:10:28,04:36:49
ONSbKNIQkcV9,Friday,2004-2005,19:39:23,23:28:01
BpyhvJpjiMFU,Sunday,2013-2014,17:49:00,03:22:42
cCwiU3HbsSnv,Thursday,2020-2021,06:07:00,18:49:10
e3RZlJRNyOmN,Tuesday,2023-2024,22:54:23,21:48:48
ux9opA0Ri2LR,Friday,2003-2004,05:09:27,20:23:23
ELmrUutQ4zc1,Tuesday,2014-2015,18:30:13,00:05:27
Spkiw2I5PkFU,Wednesday,2024-2025,22:03:12,22:23:28
e9GUVv8L02R7,Wednesday,2027-2028,21:45:37,01:35:45
hoZdSfCbQ2FD,Monday,2020-2021,12:17:51,11:22:56
3k2lMheBBLFB,Wednesday,2018-2019,22:01:40,01:17:41
RBcX3WNwNCCu,Wednesday,2022-2023,15:22:56,09:56:46
8UZ7D97A4WDO,Monday,2006-2007,07:01:14,21:27:38
HQlBnNBcCb4r,Sunday,2013-2014,16:43:08,16:34:08
aJKqUuwksCZ1,Saturday,2016-2017,22:26:35,14:24:22
VwKc5nsBFuUX,Tuesday,2012-2013,20:03:53,23:07:09
uZOvLiZg5You,Friday,2025-2026,09:57:57,07:32:37
e6oSfpMtcXPB,Thursday,2018-2019,20:18:28,01:31:28
PJfQYZuQVLDr,Monday,2010-2011,06:47:01,01:17:43
oF7140uc0v0J,Monday,2016-2017,04:46:10,08:26:53
Ua8QGcN1jsYU,Saturday,2010-2011,19:42:09,19:53:12
3BvSQqwNBgKw,Monday,2021-2022,21:59:15,13:21:41
gQftdCjxkhSE,Sunday,2005-2006,07:21:00,17:52:49
LYf9b71AnfrH,Friday,2010-2011,08:17:12,07:12:45
rkoHI2VpC8lg,Wednesday,2005-2006,08:13:30,19:18:14
AbQWJ0xVU0mq,Friday,2014-2015,03:01:56,18:04:45
kVnS1nf7J5nZ,Tuesday,2024-2025,12:10:57,03:02:10
PZNZrU4MyOeO,Thursday,2009-2010,12:12:24,18:00:42
vVNSg88uEqTv,Tuesday,2012-2013,09:17:38,12:16:46
DT1fwwtGpwHl,Friday,2006-2007,21:07:15,19:52:57
IOvhlccovi1V,Wednesday,2006-2007,07:32:30,18:44:59
ubO0tyBniAiA,Tuesday,2007-2008,13:30:11,19:54:07
YunkTKlHnaXB,Friday,2008-2009,22:53:43,21:41:43
CKINLXPmhbp1,Friday,2002-2003,06:58:07,16:51:41
p1T1x9G63OTu,Wednesday,2022-2023,12:33:48,05:12:38
Wx8uL6JV8kZq,Friday,2004-2005,05:10:06,08:15:01
WTHb53Rz4mEq,Friday,2023-2024,13:49:42,16:25:04
Eo0qcmAOLhdD,Monday,2008-2009,13:45:10,05:38:13
xJqeaqF64VTW,Wednesday,2011-2012,01:17:10,18:52:57
aEGhiKa2ePWC,Friday,2005-2006,20:37:38,22:59:16
QJ3XmLwA3bvF,Sunday,2027-2028,05:42:49,13:32:25
CyUU9FeVWbl2,Tuesday,2027-2028,15:52:12,16:49:59
unei0StcibF6,Thursday,2013-2014,05:26:01,23:37:37
SR9IVuWK7YYR,Sunday,2023-2024,02:49:39,16:26:22
DTaGteEbwiOv,Monday,2019-2020,07:47:19,14:44:39
7RcR2b8yVwNt,Tuesday,2009-2010,09:49:20,02:21:48
5ux6VQprfL6s,Saturday,2015-2016,04:03:45,18:49:09
FnmghZl22wEG,Tuesday,2019-2020,20:50:26,10:03:53
UNmNVlCMp6k0,Monday,2018-2019,21:15:02,15:35:26
5BQXZlog9bu7,Sunday,2005-2006,01:53:45,08:59:19
ii1I8yhMccSa,Friday,2016-2017,10:32:30,07:57:44
BfnfNhMLYpLw,Tuesday,2005-2006,09:15:14,09:19:19
QRVt9fggNNoN,Sunday,2014-2015,09:11:21,12:37:02
7grfcjyy1n1z,Wednesday,2002-2003,19:11:27,08:14:42
51F7Gs3ykLlZ,Tuesday,2003-2004,01:37:38,09:34:28
MK8EoOVko2iS,Wednesday,2001-2002,09:42:32,07:09:09
S1Z0GUEPAvp9,Monday,2006-2007,01:30:13,20:06:32
tRQT0KzzN9eM,Tuesday,2023-2024,13:14:45,00:30:23
ErrDL5CjIKyq,Sunday,2018-2019,10:08:22,20:16:00
MvDyMwDiVLEe,Thursday,2022-2023,22:42:47,00:15:28
UYg9nqgXwkLE,Monday,2020-2021,14:30:59,21:43:02
lLhcTfFIg5Ag,Sunday,2011-2012,21:12:57,23:49:05
bTwJK0XOrUQg,Monday,2013-2014,22:07:39,10:38:46
tQlPvRDOBrPD,Tuesday,2010-2011,23:13:04,02:56:41
Np1nLyEKpfPD,Tuesday,2004-2005,10:02:36,22:34:26
CF6otiucU76q,Sunday,2026-2027,04:02:57,18:29:39
lTYJKc3eLZ7e,Thursday,2007-2008,05:05:36,03:32:23
XMyDwfh1tvud,Monday,2014-2015,07:36:12,08:15:13
TNKsGT0CV8lC,Monday,2003-2004,02:36:46,16:37:14
67TmIqDN4wTv,Thursday,2005-2006,11:58:36,06:34:51
xA5qykpLH7i9,Sunday,2022-2023,06:21:11,02:43:20
MOCzOXf93pnk,Monday,2022-2023,04:28:59,11:31:29
xPa2WjaArLlQ,Saturday,2027-2028,00:10:45,04:03:39
Dr56pP1lYZp7,Friday,2011-2012,03:04:44,17:31:38
jWOXlleT2HeV,Friday,2022-2023,00:34:44,01:03:27
plD4GEJuVlUP,Tuesday,2027-2028,06:30:24,14:50:44
MWcw6bNGEhBz,Sunday,2004-2005,20:37:16,10:58:35
PAQdp6589fWC,Tuesday,2017-2018,07:16:32,15:04:18
K0ijSRQcazlx,Tuesday,2014-2015,22:34:31,15:08:08
srfEDhdj2KOp,Friday,2025-2026,05:40:13,20:39:24
K2l77rux7K2J,Saturday,2013-2014,20:33:29,16:45:38
OcyylX2wcWOp,Wednesday,2001-2002,19:22:44,23:53:34
zrQKyGG81XfZ,Sunday,2023-2024,20:19:29,23:42:17
AagzMeEv0Xb0,Friday,2016-2017,22:23:01,05:01:26
1gfftscHetTP,Saturday,2019-2020,03:52:04,17:42:13
28Ax3kkAbGyu,Friday,2020-2021,06:28:43,22:52:07
Hr0nWtRebOdC,Thursday,2026-2027,06:19:05,09:38:42
lkHiDRDDLzpp,Monday,2002-2003,17:22:19,19:48:25
B6x63TlqUunA,Wednesday,2010-2011,09:51:52,04:07:04
HQ565TEXylE4,Wednesday,2001-2002,05:08:59,16:27:33
UnOgKE1S18wz,Thursday,2023-2024,18:15:50,12:24:41
fS0koun3pxf0,Tuesday,2010-2011,02:10:57,16:31:11
cPKP0B0ZFhOk,Thursday,2011-2012,09:04:10,01:43:34
9TJfEIdErqgY,Sunday,2017-2018,10:51:58,07:57:42
ZL3HzhNYp1JF,Monday,2011-2012,18:30:48,19:19:44
bXQofFPVuFQN,Tuesday,2003-2004,19:09:32,15:25:32
3d6vZcSJ4juB,Thursday,2023-2024,03:16:47,17:29:26
lyighETUQ1t1,Wednesday,2011-2012,18:35:06,05:47:23
E1768rndZHnb,Thursday,2013-2014,05:00:03,18:45:08
yza7s1gTCcjS,Friday,2002-2003,04:04:04,03:05:36
rrXIKsomrlBn,Wednesday,2027-2028,18:08:05,13:26:39
VOcM4gkz5HBh,Wednesday,2020-2021,10:02:37,11:20:02
iA326QSNohzH,Friday,2023-2024,05:36:08,02:56:52
kBRZ9S1PQ8Rs,Saturday,2024-2025,22:01:59,18:15:35
ZJaYv0jWCxJR,Wednesday,2015-2016,10:17:46,01:30:20
AES8zkNZgFby,Monday,2025-2026,00:10:42,21:28:29
O3BeVXZ61W7Y,Friday,2011-2012,11:40:34,09:16:30
nYIcJVyQhz80,Saturday,2018-2019,15:35:20,20:21:02
Gr9lpxdNdXJL,Thursday,2010-2011,21:52:17,04:20:47
qmdZWDphw3pb,Saturday,2006-2007,04:55:13,21:35:51
3McAJCbYaBez,Thursday,2023-2024,12:34:58,04:46:44
CaI3IVhKNACS,Wednesday,2023-2024,08:18:08,04:53:52
igR4YsiJQ0Jw,Sunday,2017-2018,07:23:43,12:36:38
bh1W6lEz8Abp,Wednesday,2009-2010,07:27:20,17:49:21
OqPRpsNXsdN3,Friday,2003-2004,02:39:35,15:43:06
cO2KR7yOj0R9,Monday,2016-2017,16:28:26,22:50:41
6rpTmoQqMRjj,Thursday,2010-2011,15:25:41,21:30:32
c9sNKwQA9DXb,Friday,2001-2002,13:57:58,05:48:21
gBEkBqREhK9F,Tuesday,2011-2012,18:25:20,03:45:09
2iId4b7zQCRQ,Sunday,2020-2021,13:28:01,17:32:36
p3GfmV6Eu64q,Friday,2009-2010,18:08:49,13:21:22
5VsFkVBHnNu3,Saturday,2003-2004,14:35:03,11:31:08
Za4LllwRwzpZ,Tuesday,2022-2023,00:27:27,11:30:31
zvbnvrNADXx5,Tuesday,2010-2011,16:12:55,10:32:02
EJH2smJhbgh2,Tuesday,2023-2024,23:33:39,05:14:15
fBacWdPXecRW,Monday,2022-2023,04:48:24,22:20:38
6YcG5ug5WQAu,Monday,2020-2021,19:36:07,11:09:47
OEIzPP3e4KX7,Wednesday,2006-2007,16:58:15,05:11:30
R9p8eTBN33D5,Friday,2022-2023,06:32:58,20:46:19
zNNUKmsY0JS3,Tuesday,2012-2013,15:01:04,02:19:21
wbBgvRDQrznJ,Monday,2026-2027,11:55:04,11:02:42
OvSx8FG9jNVS,Wednesday,2021-2022,05:07:26,17:53:52
4BVge77cyWGX,Monday,2011-2012,05:46:09,21:54:31
XF7QD5KOORHX,Sunday,2006-2007,23:41:01,16:08:37
kgdGiOntJ7iw,Wednesday,2001-2002,12:22:42,21:00:47
QQIkR7g58rQv,Friday,2022-2023,22:19:17,17:21:06
m4d4FQj6m51Q,Tuesday,2001-2002,01:24:27,21:20:50
KDxyce4aNizv,Wednesday,2015-2016,03:17:54,04:03:57
u80D8JejOUP8,Monday,2020-2021,18:25:50,21:44:36
5oqDybqzBDGJ,Saturday,2010-2011,02:08:33,23:45:19
p5u3eIQuiwiS,Tuesday,2019-2020,12:42:23,09:42:49
X8k1WaWJk0iW,Thursday,2010-2011,18:16:37,21:58:36
ThlwPJYy7Hg1,Thursday,2008-2009,06:59:43,18:23:46
BmoWY0HMSMYL,Monday,2012-2013,09:13:05,18:07:30
VchmMwEGLK1Z,Tuesday,2014-2015,04:19:18,13:52:30
SzvR0daosVj5,Sunday,2016-2017,01:30:20,17:19:50
qSV1UA2p8x1y,Wednesday,2019-2020,18:14:38,09:53:23
6jGYBAwvZqr2,Sunday,2017-2018,15:55:54,22:18:07
wUK5mH9vMmVr,Sunday,2012-2013,08:14:25,18:38:04
tgo1cYOYVmer,Monday,2002-2003,02:45:52,08:39:46
d3XSph2oNnGg,Sunday,2021-2022,05:32:35,15:00:36
0gSbGiRYQmIT,Friday,2012-2013,05:37:35,23:13:19
lBdnZWDcdQ1g,Friday,2010-2011,15:17:09,05:18:58
bZRaAD2p3NfY,Sunday,2018-2019,02:48:48,23:11:13
fKsD8TwYjLkL,Tuesday,2007-2008,06:47:22,22:57:05
4SDv4tFJR0Ty,Wednesday,2003-2004,10:52:18,10:02:29
epXKvWyXtzRW,Tuesday,2006-2007,12:05:46,13:35:18
78xWXaN57XSY,Wednesday,2024-2025,15:24:21,11:34:44
TZ22oA9nLTz9,Monday,2003-2004,04:34:14,04:53:52
hZMnauFtQ0g2,Monday,2001-2002,12:09:25,01:20:10
Afsy64gKhKx6,Tuesday,2004-2005,02:36:39,23:14:25
NQVZMBXBRSJ4,Friday,2004-2005,04:31:52,07:45:18
SKVM35edgy0M,Wednesday,2001-2002,12:46:56,23:24:23
slY1Q1P5n5dr,Sunday,2021-2022,00:53:02,19:40:14
BqhMc9XsgfUa,Sunday,2007-2008,07:22:41,11:38:14
1KRegkINrd5a,Sunday,2010-2011,19:02:43,09:36:42
mwZao7W5yKXA,Wednesday,2023-2024,07:21:43,00:00:04
rdXy6hbGdn9m,Monday,2001-2002,07:28:45,07:49:02
2l503m8OAWQh,Friday,2002-2003,18:10:36,04:26:39
4MENLBbZ4h7w,Saturday,2001-2002,22:50:52,17:28:36
Is11gIbXaZNW,Thursday,2003-2004,01:38:16,15:41:04
PE4NWUC0DeLb,Friday,2005-2006,09:55:43,04:08:51
